Unnamed: 0,Final Mean,Cluster,Mood
AF3,-0.0015718528341001,2,Neutral
AF4,0.000878003263326,2,Neutral
F3,0.0330648943940055,1,Happy
F4,-0.0031253810813486,0,Sad
F7,0.0048182687306546,2,Neutral
F8,-0.0057308354423951,0,Sad
FC5,-0.0050296037485294,0,Sad
FC6,-0.0002750093344334,2,Neutral
O1,-0.0045823151434173,0,Sad
O2,-0.0012031820779827,2,Neutral
P7,-0.0018606119607059,2,Neutral
P8,0.001544578968812,2,Neutral
T7,-0.0011925903698845,2,Neutral
T8,-0.0006753897783123,2,Neutral
Unnamed: 14,,2,Neutral
